movieId,total_count,mean_rating
1,49695,3.92123956132408
2,22243,3.21197680169042
3,12735,3.15104043973302
4,2756,2.86139332365747
5,12161,3.06459172765398
6,23899,3.83493033181305
7,12961,3.36648406758738
8,1415,3.14204946996466
9,3960,3.00492424242424
10,29005,3.43002930529219
11,18162,3.66771280695959
12,3845,2.61976592977893
13,1461,3.27241615331964
14,6022,3.4320823646629
15,2910,2.72199312714777
16,17394,3.78745544440612
17,20667,3.96857308753085
18,5203,3.37363059773208
19,20938,2.60741236030184
20,4084,2.8807541625857
21,24116,3.58168850555648
22,9928,3.31939967767929
23,4250,3.14823529411765
24,7971,3.19984945427173
25,21553,3.6895095810328
26,2755,3.62885662431942
27,1642,3.41352009744214
28,3154,4.05754597336715
29,8520,3.95223004694836
30,1281,3.63387978142076
31,9435,3.25034446210917
32,44980,3.89805469097377
33,65,3.00769230769231
34,32255,3.64309409393892
35,1493,3.50167448091092
36,20809,3.94271709356528
37,85,3.01764705882353
38,552,2.85778985507246
39,26254,3.41363220842538
40,886,3.64672686230248
41,4689,3.85210066112177
42,2467,3.05512768544791
43,2552,3.46845611285266
44,10697,2.65387491820136
45,8933,3.38436135676704
46,3205,3.27488299531981
47,43249,4.05349256630211
48,13046,2.94611375134141
49,236,3.58474576271186
50,47006,4.33437220780326
51,27,2.55555555555556
52,9320,3.54114806866953
53,150,3.69666666666667
54,956,2.85460251046025
55,939,3.24121405750799
56,70,1.87142857142857
57,2439,3.32451824518245
58,11549,3.97839639795653
59,191,3.56020942408377
60,6313,3.11444638048471
61,2281,3.32310390179746
62,19381,3.731824983231
63,2334,3.06662382176521
64,2086,2.82981783317354
65,4864,2.39422286184211
66,2371,2.14424293547027
67,170,3.35
68,1238,3.43699515347334
69,4288,3.56063432835821
70,12712,3.27745437382001
71,1295,2.35521235521236
72,1230,3.50243902439024
73,2955,3.80676818950931
74,3514,3.30221969265794
75,558,2.46236559139785
76,3380,3.00902366863905
77,221,3.42986425339366
78,1226,3.18066884176183
79,5535,3.12854561878952
80,575,3.72434782608696
81,3209,3.26737301339981
82,2538,4.00492513790386
83,594,3.65319865319865
84,158,3.41772151898734
85,2714,3.53113485630066
86,4308,3.48340297121634
87,976,2.35963114754098
88,4864,3.10762746710526
89,3247,3.13982137357561
90,214,3.35747663551402
92,2303,2.85410334346505
93,1966,2.52873855544252
94,4030,3.52692307692308
95,22104,3.09464350343829
96,483,3.68737060041408
97,1963,3.99643402954661
98,81,2.48765432098765
99,726,3.10537190082645
100,4115,3.22138517618469
101,4298,3.7862959516054
102,1992,2.42946787148594
103,1133,3.26919682259488
104,17915,3.41708065866592
105,9620,3.32629937629938
106,134,3.44402985074627
107,6376,3.21533877038896
108,125,3.092
109,16,2.0625
110,53769,4.04253380200487
111,24481,4.11057554838446
112,11890,3.41257359125315
113,1089,3.10927456382002
114,247,3.61943319838057
115,38,3.40789473684211
116,949,3.93730242360379
117,1264,3.58939873417722
118,1136,3.01100352112676
119,264,2.77272727272727
120,147,2.88095238095238
121,837,3.75328554360812
122,3888,2.86766975308642
123,2309,3.96925075790385
124,319,3.49843260188088
125,3518,3.75568504832291
126,1376,2.31213662790698
127,41,3.25609756097561
128,75,3.5
129,190,3.16315789473684
130,39,3.11538461538462
131,194,3.29123711340206
132,2123,2.77319830428639
133,19,2.60526315789474
134,36,3.65277777777778
135,6305,2.99801744647105
